Entry ID,Release Date
"1IBL","2001-05-04"
"1IBM","2001-05-04"
"1IDV","2001-10-05"
"1IE1","2001-06-20"
"1IE2","2001-06-20"
"1IK1","2001-07-18"
"1IK5","2001-11-09"
"1IKD","1997-04-01"
"1IL2","2001-09-28"
"1IVS","2003-02-11"
"1J1U","2003-06-03"
"1J2B","2003-05-27"
"1J4Y","2002-07-17"
"1J5A","2002-03-08"
"1J5E","2002-04-12"
"1J6S","2003-08-05"
"1J7T","2002-05-18"
"1J8G","2001-11-23"
"1J9H","2001-10-26"
"1JB8","2003-07-01"
"1JBR","2001-10-26"
"1JBS","2001-10-26"
"1JBT","2001-10-26"
"1JGO","2001-07-20"
"1JGP","2001-07-20"
"1JGQ","2001-07-20"
"1JID","2001-10-19"
"1JJ2","2001-08-01"
"1JO7","2001-09-19"
"1JOX","2002-05-01"
"1JP0","2002-05-01"
"1JTJ","2002-12-11"
"1JTW","2001-12-12"
"1JU1","2002-08-23"
"1JU7","2002-03-20"
"1JUR","2002-01-16"
"1JWC","2002-03-20"
"1JZC","2003-10-07"
"1JZV","2003-11-11"
"1JZX","2001-10-26"
"1JZY","2001-10-26"
"1JZZ","2001-10-26"
"1K01","2001-10-26"
"1K1G","2001-11-07"
"1K2G","2002-05-08"
"1K4A","2001-12-19"
"1K4B","2001-12-19"
"1K5I","2001-10-17"
"1K6G","2001-12-19"
"1K6H","2001-12-19"
"1K73","2003-07-22"
"1K8A","2002-07-19"
"1K8S","2001-11-14"
"1K8W","2001-12-31"
"1K9M","2002-07-19"
"1K9W","2001-11-30"
"1KAJ","1996-07-11"
"1KC8","2003-07-22"
"1KD1","2002-07-19"
"1KD3","2003-03-04"
"1KD4","2003-03-04"
"1KD5","2003-03-04"
"1KFO","2001-12-07"
"1KH6","2002-04-26"
"1KIS","1997-10-15"
"1KKA","2002-07-17"
"1KKS","2002-03-13"
"1KNZ","2002-01-17"
"1KOC","1996-08-17"
"1KOD","1996-11-08"
"1KOG","2002-04-26"
"1KOS","1999-10-22"
"1KP7","2002-04-10"
"1KPD","1997-04-01"
"1KPY","2002-01-11"
"1KPZ","2002-01-11"
"1KQ2","2002-07-05"
"1KQS","2002-02-22"
"1KUQ","2003-06-24"
"1KXK","2002-03-22"
"1L1C","2002-03-27"
"1L1W","2002-05-22"
"1L2X","2002-03-22"
"1L3D","2002-03-22"
"1L3Z","2003-02-25"
"1L8V","2002-08-23"
"1L9A","2002-06-28"
"1LAJ","2002-11-27"
"1LC4","2003-04-08"
"1LC6","2002-05-29"
"1LDZ","1998-11-25"
"1LMV","2002-11-27"
"1LNG","2002-06-07"
"1LNT","2003-06-03"
"1LPW","2002-11-27"
"1LS2","2002-06-26"
"1LU3","2002-06-26"
"1LUU","2003-09-09"
"1LUX","2003-09-09"
"1LVJ","2002-12-11"
"1M1K","2002-07-19"
"1M5K","2002-08-02"
"1M5L","2002-09-18"
"1M5O","2002-10-12"
"1M5P","2002-10-12"
"1M5V","2002-10-12"
"1M82","2003-06-03"
"1M8V","2003-02-11"
"1M8W","2002-09-25"
"1M8X","2002-09-25"
"1M8Y","2002-09-25"
"1M90","2002-09-06"
"1MDG","2003-08-12"
"1ME1","2003-08-19"
"1MFJ","2002-11-06"
"1MFK","2002-11-13"
"1MFQ","2002-09-20"
"1MFY","2002-09-18"
"1MHK","2002-09-06"
"1MIS","1997-07-07"
"1MJ1","2002-11-01"
"1MJI","2003-01-21"
"1ML5","2003-01-14"
"1MME","1996-02-06"
"1MMS","2000-04-17"
"1MNB","1997-01-27"
"1MNX","2003-01-14"
"1MSW","2002-11-15"
"1MSY","2003-02-25"
"1MT4","2003-01-14"
"1MUV","2002-12-18"
"1MV1","2002-12-18"
"1MV2","2002-12-18"
"1MV6","2002-12-18"
"1MVR","2003-04-01"
"1MWG","1997-03-12"
"1MWL","2003-02-18"
"1MY9","2003-10-07"
"1MZP","2003-01-21"
"1N1H","2002-12-25"
"1N32","2002-11-29"
"1N33","2002-11-29"
"1N34","2002-11-29"
"1N35","2002-12-25"
"1N36","2002-11-29"
"1N38","2002-12-25"
"1N53","2003-04-29"
"1N66","2003-08-19"
"1N77","2003-02-25"
"1N78","2003-02-25"
"1N8R","2003-07-22"
"1N8X","2003-04-08"
"1NA2","2003-01-21"
"1NAO","1997-01-27"
"1NB7","2003-03-25"
"1NBK","2003-12-03"
"1NBR","2003-03-04"
"1NBS","2003-02-18"
"1NC0","2003-02-25"
"1NEM","1999-08-31"
"1NJI","2003-07-22"
"1NJM","2003-02-11"
"1NJN","2003-02-11"
"1NJO","2003-02-11"
"1NJP","2003-02-11"
"1NKW","2003-02-11"
"1NLC","2003-05-13"
"1NTA","2003-05-13"
"1NTB","2003-05-13"
"1NTQ","2003-06-10"
"1NTS","2003-06-10"
"1NTT","2003-06-10"
"1NUJ","2003-08-19"
"1NUV","2003-08-19"
"1NWX","2003-03-18"
"1NWY","2003-03-18"
"1NXR","1997-07-07"
"1NYB","2003-06-24"
"1NYI","2004-02-24"
"1NZ1","2003-05-13"
"1O0B","2003-04-15"
"1O0C","2003-04-15"
"1O15","2003-02-18"
"1O3Z","2003-05-27"
"1O9M","2003-03-27"
"1OB2","2004-05-27"
"1OB5","2005-10-13"
"1OKF","2003-10-09"
"1OLN","2003-09-11"
"1OND","2003-04-15"
"1OO7","2003-11-11"
"1OOA","2003-07-22"
"1OQ0","2003-05-13"
"1OSU","1996-04-04"
"1OSW","2003-05-20"
"1OW9","2003-05-20"
"1P5M","2003-11-04"
"1P5N","2003-11-04"
"1P5O","2003-11-04"
"1P5P","2003-11-04"
"1P6V","2003-08-12"
"1P79","2003-11-04"
"1P9X","2003-08-05"
"1PBL","1997-07-07"
"1PBM","1997-07-07"
"1PBR","1997-09-17"
"1PGL","2003-11-18"
"1PJG","2003-12-09"
"1PJO","2003-12-09"
"1PJY","2003-08-05"
"1PN7","2003-07-15"
"1PN8","2003-07-15"
"1PVO","2003-07-22"
"1Q29","2004-02-24"
"1Q2R","2003-09-09"
"1Q2S","2003-09-09"
"1Q75","2003-12-23"
"1Q7Y","2003-10-07"
"1Q81","2003-10-07"
"1Q82","2003-10-07"
"1Q86","2003-10-07"
"1Q8N","2004-03-23"
"1Q93","2003-11-25"
"1Q96","2003-11-25"
"1Q9A","2003-11-25"
"1QA6","1999-05-25"
"1QBP","1999-11-26"
"1QC0","1999-11-11"
"1QC8","1999-08-31"
"1QCU","1999-11-11"
"1QD3","2000-07-12"
"1QD7","1999-08-31"
"1QES","1997-06-05"
"1QET","1997-06-05"
"1QF6","1999-05-06"
"1QFQ","1999-04-20"
"1QLN","2000-02-04"
"1QRS","1996-12-07"
"1QRT","1996-12-07"
"1QRU","1996-12-07"
"1QTQ","1998-05-27"
"1QU2","1999-08-31"
"1QU3","1999-08-31"
"1QVF","2003-11-11"
"1QVG","2003-11-11"
"1QWA","2003-11-25"
"1QWB","2003-11-25"
"1QZA","2003-11-04"
"1QZB","2003-11-04"
"1QZC","2003-11-04"
"1QZW","2003-11-18"
"1R2P","2004-02-03"
"1R2W","2003-11-04"
"1R2X","2003-11-04"
"1R3E","2003-11-04"
"1R3O","2003-12-23"
"1R3X","1998-05-20"
"1R4H","2004-10-19"
"1R7W","2004-05-25"
"1R7Z","2004-05-25"
"1R9F","2004-01-27"
"1R9S","2004-11-16"
"1R9T","2004-11-16"
"1RAU","1994-01-31"
"1RAW","1997-01-27"
"1RC7","2004-03-30"
"1RFR","2004-03-23"
"1RGO","2004-03-02"
"1RHT","1995-06-03"
"1RKJ","2004-04-27"
"1RLG","2004-06-01"
"1RMN","1995-01-26"
"1RMV","1997-05-15"
"1RNA","1991-04-15"
"1RNG","1995-12-07"
"1RNK","1995-02-27"
"1ROQ","2004-05-18"
"1RPU","2004-01-13"
"1RRD","1998-04-22"
"1RRR","1998-04-22"
"1RXA","1996-10-20"
"1RXB","1996-08-26"
"1RY1","2004-04-20"
"1S03","2004-05-25"
"1S0V","2004-02-24"
"1S2F","2004-08-31"
"1S34","2004-08-31"
"1S72","2004-06-15"
"1S76","2004-03-23"
"1S77","2004-03-23"
"1S9L","2004-06-29"
"1S9S","2004-04-06"
"1SA9","2004-05-18"
"1SAQ","2004-05-18"
"1SCL","1995-01-26"
"1SDR","1995-02-27"
"1SDS","2004-05-18"
"1SER","1994-04-30"
"1SFO","2004-03-02"
"1SI3","2004-05-25"
"1SJ3","2004-05-18"
"1SJ4","2004-05-18"
"1SJF","2004-05-18"
"1SLO","1996-12-07"
"1SLP","1997-04-21"
"1SM1","2004-08-03"
"1SY4","2004-04-06"
"1SYZ","2004-11-09"
"1SZ1","2004-08-10"
"1SZY","2004-04-20"
"1T0D","2004-06-15"
"1T0E","2004-06-15"
"1T0K","2004-07-20"
"1T1M","2004-06-15"
"1T1O","2004-06-15"
"1T28","2004-08-10"
"1T2R","2004-06-01"
"1T4L","2004-06-01"
"1T4X","2004-08-03"
"1TBK","2005-03-01"
"1TFN","1997-02-12"
"1TFW","2004-08-10"
"1TFY","2004-08-10"
"1TJZ","2004-09-28"
"1TLR","1997-11-12"
"1TN1","1987-01-15"
"1TN2","1986-10-24"
"1TOB","1997-06-16"
"1TRA","1986-07-14"
"1TRJ","2004-09-28"
"1TTT","1996-12-23"
"1TUT","2004-12-28"
"1TXS","2004-10-05"
"1U0B","2004-11-23"
"1U1Y","2004-12-07"
"1U2A","1998-03-04"
"1U3K","2005-07-12"
"1U63","2005-04-12"
"1U6B","2004-08-10"
"1U6P","2004-11-02"
"1U9S","2004-10-26"
"1ULL","1997-08-20"
"1UN6","2003-11-20"
"1UON","2003-11-13"
"1URN","1996-03-08"
"1UTD","2004-01-15"
"1UTS","2004-02-12"
"1UUD","2004-03-15"
"1UUI","2004-02-12"
"1UUU","1998-02-25"
"1UVI","2004-02-19"
"1UVJ","2004-02-19"
"1UVL","2004-02-26"
"1UVM","2004-02-19"
"1UVN","2004-02-26"
"1VBX","2004-05-18"
"1VBY","2004-05-18"
"1VBZ","2004-05-18"
"1VC0","2004-05-18"
"1VC5","2004-05-18"
"1VC6","2004-05-18"
"1VFG","2004-08-10"
"1VOP","1997-12-24"
"1VQ4","2005-11-29"
"1VQ5","2005-11-29"
"1VQ6","2005-11-29"
"1VQ7","2005-11-29"
"1VQ8","2005-11-29"
"1VQ9","2005-11-29"
"1VQK","2005-11-29"
"1VQL","2005-11-29"
"1VQM","2005-11-29"
"1VQN","2005-11-29"
"1VQO","2005-11-29"
"1VQP","2005-11-29"
"1VTM","1994-07-31"
"1VTQ","2011-07-13"
"1VVJ","2014-08-06"
"1VY4","2014-08-20"
"1VY5","2014-08-20"
"1VY6","2014-08-20"
"1VY7","2014-08-20"
"1W2B","2004-09-02"
"1WKS","2004-06-22"
"1WMQ","2005-03-15"
"1WNE","2004-08-31"
"1WPU","2005-08-30"
"1WRQ","2005-08-30"
"1WSU","2005-01-25"
"1WTS","1999-01-27"
"1WTT","1999-01-27"
"1WVD","2004-12-21"
"1WWD","2005-03-22"
"1WWE","2005-03-22"
"1WWF","2005-04-05"
"1WWG","2005-04-05"
"1WZ2","2005-09-06"
"1X18","2005-05-17"
"1X1L","2005-05-17"
"1X8W","2004-11-09"
"1X9C","2005-11-22"
"1X9K","2005-11-22"
"1XBP","2005-03-01"
"1XHP","2004-11-23"
"1XJR","2005-02-01"
"1XMO","2004-12-14"
"1XMQ","2004-12-14"
"1XNQ","2004-12-14"
"1XNR","2004-12-14"
"1XOK","2005-01-04"
"1XP7","2005-10-18"
"1XPE","2005-10-18"
"1XPF","2005-10-18"
"1XPO","2005-02-08"
"1XPR","2004-11-02"
"1XPU","2004-11-02"
"1XSG","2004-12-28"
"1XSH","2004-12-28"
"1XST","2004-12-28"
"1XSU","2004-12-28"
"1XV0","2004-11-09"
"1XV6","2005-04-05"
"1XWP","2005-02-15"
"1XWU","2005-02-15"
"1Y0Q","2004-12-21"
"1Y1W","2005-01-04"
"1Y1Y","2004-12-28"
"1Y26","2004-12-28"
"1Y27","2004-12-28"
"1Y39","2005-03-22"
"1Y3O","2005-11-08"
"1Y3S","2005-11-08"
"1Y69","2005-03-01"
"1Y6S","2004-12-21"
"1Y6T","2004-12-21"
"1Y73","2004-12-21"
"1Y77","2005-01-04"
"1Y90","2004-12-21"
"1Y95","2004-12-21"
"1Y99","2004-12-21"
"1YFG","1997-09-03"
"1YFV","1997-10-15"
"1YG3","2005-12-13"
"1YG4","2005-12-13"
"1YHQ","2005-04-26"
"1YI2","2005-04-26"
"1YIJ","2005-04-26"
"1YIT","2005-04-26"
"1YJ9","2005-04-26"
"1YJN","2005-04-26"
"1YJW","2005-04-26"
"1YKQ","2005-02-22"
"1YKV","2005-02-22"
"1YLG","2005-02-01"
"1YLS","2005-02-22"
"1YMO","2005-03-15"
"1YN1","2006-01-24"
"1YN2","2006-01-24"
"1YNC","2005-02-08"
"1YNE","2005-02-08"
"1YNG","2005-02-08"
"1YRJ","2005-06-07"
"1YSH","2005-07-05"
"1YSV","2005-07-19"
"1YTU","2005-04-05"
"1YTY","2006-01-17"
"1YVP","2005-06-07"
"1YXP","2006-01-31"
"1YY0","2005-10-18"
"1YYK","2005-11-22"
"1YYO","2005-11-22"
"1YYW","2005-11-22"
"1YZ9","2005-11-22"
"1YZD","2005-10-18"
"1Z2J","2005-06-14"
"1Z30","2005-04-26"
"1Z31","2005-03-22"
"1Z43","2005-06-14"
"1Z58","2005-06-28"
"1Z79","2005-10-18"
"1Z7F","2005-10-18"
"1ZBH","2006-09-26"
"1ZBI","2005-07-12"
"1ZBL","2005-07-12"
"1ZBN","2005-04-19"
"1ZC5","2005-06-07"
"1ZC8","2005-04-19"
"1ZCI","2006-01-31"
"1ZDH","1997-04-21"
"1ZDI","1997-04-21"
"1ZDJ","1998-07-08"
"1ZDK","1998-12-07"
"1ZE2","2005-04-26"
"1ZEV","2005-10-25"
"1ZFT","2006-02-14"
"1ZFV","2006-02-14"
"1ZFX","2006-02-14"
"1ZH5","2006-01-17"
"1ZHO","2006-05-09"
"1ZIF","1997-03-12"
"1ZIG","1997-03-12"
"1ZIH","1997-03-12"
"1ZJW","2005-06-07"
"1ZL3","2005-08-09"
"1ZN0","2005-06-14"
"1ZN1","2005-06-14"
"1ZO1","2005-06-14"
"1ZO3","2005-06-14"
"1ZSE","2006-05-09"
"1ZX7","2005-09-20"
"1ZZ5","2005-09-20"
"1ZZN","2005-08-30"
"205D","1995-09-15"
"219D","1995-10-15"
"255D","1995-02-07"
"259D","1996-08-26"
"280D","1996-09-30"
"283D","1996-09-30"
"28SP","1999-04-12"
"28SR","1999-04-20"
"299D","1997-01-24"
"2A04","2005-09-20"
"2A0P","2005-08-16"
"2A1R","2005-12-20"
"2A2E","2005-09-06"
"2A43","2005-09-27"
"2A64","2005-09-20"
"2A8V","1999-04-26"
"2A9L","1998-06-17"
"2A9X","2005-11-01"
"2AAR","2005-08-23"
"2AB4","2005-12-13"
"2AD9","2005-10-04"
"2ADB","2005-10-04"
"2ADC","2005-10-04"
"2ADT","2005-07-26"
"2AGN","2006-07-25"
"2AHT","2006-10-17"
"2AKE","2006-07-11"
"2ANN","2006-10-24"
"2ANR","2006-10-24"
"2AO5","2006-03-28"
"2AP0","2006-09-05"
"2AP5","2006-09-05"
"2ASB","2005-10-11"
"2ATW","2005-10-11"
"2AU4","2006-03-28"
"2AWE","2006-02-07"
"2AWQ","2006-01-17"
"2AZ0","2005-10-11"
"2AZ2","2005-10-11"
"2AZX","2006-08-01"
"2B2D","2006-05-09"
"2B2E","2006-05-09"
"2B2G","2006-05-09"
"2B3J","2006-01-24"
"2B57","2006-05-23"
"2B63","2005-12-06"
"2B6G","2006-01-24"
"2B7G","2006-01-24"
